Name,vf1,consistency vf1,vf2,consistency vf2,vf3,consistency vf3,vf4,consistency vf4,mu,sigma,df+,df-,,
Daniel Libeskind,0.4782,0.2487,0.3896,0.3314,0.4314,0.2753,0.2687,0.1882,0.392,0.078,vf1,vf4,,
Frank Gehry,0.6284,0.2811,0.3976,0.3377,0.3608,0.2839,0.2605,0.2132,0.412,0.135,vf1,vf4,,
Dancing house,0.6882,0.1006,0.2791,0.2385,0.5742,0.0303,0.1955,0.0551,0.434,0.203,vf1,vf4,,
Dr. Chau Chuck Wing Building,0.580,0.227,0.412,0.193,0.639,0.215,0.264,0.141,0.474,0.147,vf3,vf4,,
Dr. Chau Chuck Wing Building 8 (1),,0.000,0.740,0.000,0.500,0.000,0.210,0.000,0.483,0.217,,vf4,,
Dr. Chau Chuck Wing Building 8 (2),0.840,0.000,0.210,0.000,0.600,0.000,0.190,0.000,0.460,0.274,vf1,,,
Dr. Chau Chuck Wing Building 8 (3),0.790,0.000,0.560,0.000,0.400,0.000,0.150,0.000,0.475,0.233,vf1,vf4,,
Dr. Chau Chuck Wing Building 8 (4),0.750,0.000,0.430,0.000,0.440,0.000,0.170,0.000,0.448,0.205,vf1,vf4,,
Dr. Chau Chuck Wing Building 8 (5),0.650,0.000,0.450,0.000,0.420,0.000,0.180,0.000,0.425,0.167,vf1,vf4,,
Dr. Chau Chuck Wing Building 8 (6),0.650,0.000,0.810,0.000,0.430,0.000,0.130,0.000,0.505,0.255,vf1,vf4,,
Dr. Chau Chuck Wing Building 8 (7),0.620,0.000,0.640,0.000,0.630,0.000,0.210,0.000,0.525,0.182,vf1,vf4,,
Dr. Chau Chuck Wing Building 8 (8),0.820,0.000,0.770,0.000,0.590,0.000,0.150,0.000,0.583,0.264,,vf4,,
Dr. Chau Chuck Wing Building 8 (9),0.750,0.000,0.740,0.000,0.530,0.000,0.200,0.000,0.555,0.223,,vf4,,
Dr. Chau Chuck Wing Building 8 (10),0.780,0.000,0.370,0.000,0.440,0.000,0.140,0.000,0.433,0.229,vf1,vf4,,
Dr. Chau Chuck Wing Building 8 (11),0.610,0.000,0.390,0.000,0.540,0.000,0.220,0.000,0.440,0.150,vf1,vf4,,
Dr. Chau Chuck Wing Building 8 (12),0.840,0.000,0.300,0.000,0.530,0.000,0.180,0.000,0.463,0.252,vf1,vf4,,
Dr. Chau Chuck Wing Building 8 (13),0.810,0.000,0.450,0.000,0.450,0.000,0.120,0.000,0.458,0.244,vf1,vf4,,
Dr. Chau Chuck Wing Building 8 (14),0.450,0.000,0.440,0.000,0.520,0.000,0.510,0.000,0.480,0.035,,,,
Dr. Chau Chuck Wing Building 8 (15),0.550,0.000,0.430,0.000,0.510,0.000,0.050,0.000,0.385,0.198,,,,
Dr. Chau Chuck Wing Building 8 (16),0.950,0.000,0.330,0.000,0.570,0.000,0.190,0.000,0.510,0.288,,,,
Dr. Chau Chuck Wing Building 8 (17),0.740,0.000,0.390,0.000,0.570,0.000,0.560,0.000,0.565,0.124,,,,
Dr. Chau Chuck Wing Building 8 (18),0.640,0.000,0.410,0.000,0.420,0.000,0.540,0.000,0.503,0.094,,,,
Dr. Chau Chuck Wing Building 8 (19),0.520,0.000,0.030,0.000,0.510,0.000,0.330,0.000,0.348,0.198,,,,
Dr. Chau Chuck Wing Building 8 (20),0.260,0.000,0.280,0.000,0.970,0.000,0.350,0.000,0.465,0.293,,,,
Dr. Chau Chuck Wing Building 8 (21),0.220,0.000,0.100,0.000,0.960,0.000,0.250,0.000,0.383,0.338,,,,
Dr. Chau Chuck Wing Building 8 (22),0.220,0.000,0.360,0.000,0.990,0.000,0.170,0.000,0.435,0.328,,,,
Dr. Chau Chuck Wing Building 8 (23),0.370,0.000,0.150,0.000,0.980,0.000,0.200,0.000,0.425,0.331,,,,
Dr. Chau Chuck Wing Building 8 (24),0.240,0.000,0.300,0.000,0.940,0.000,0.390,0.000,0.468,0.278,,,,
Dr. Chau Chuck Wing Building 8 (25),0.170,0.000,0.340,0.000,0.920,0.000,0.460,0.000,0.473,0.278,,,,
Dr. Chau Chuck Wing Building 8 (26),0.360,0.000,0.310,0.000,0.980,0.000,0.450,0.000,0.525,0.267,,,,
Dr. Chau Chuck Wing Building 8 (27),0.350,0.000,0.400,0.000,0.920,0.000,0.430,0.000,0.525,0.230,,,,
